"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g30027",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584
"g30029",1604,1184,2388,2491,1361,1776,419,1227,972,985,946,995,198,189,437,159,306,214
"g30030",246,209,388,419,214,82,82,174,115,135,168,197,7,18,60,16,51,47
"g30299",1289,1177,1883,1549,1122,1066,873,1588,1693,1159,1467,1242,1583,1430,2034,862,1819,1674
"g31885",595,476,1299,820,515,563,484,607,875,555,860,1012,223,247,383,181,354,321
"g32797",2117,2583,3876,3530,2196,1958,701,2550,1769,1802,1805,1766,81,101,74,40,125,169
"g35960",696,820,1258,886,679,788,445,953,926,711,847,794,436,456,743,243,482,506
"g38586",3265,1786,4497,4764,3867,3736,870,1647,1630,1367,1766,1516,311,235,609,335,462,376
"g50751",507,509,777,801,498,454,419,588,763,541,698,626,922,809,1011,611,1020,994
"g57314",186,141,298,298,215,242,46,163,123,113,115,121,22,23,32,21,14,39
"g67932",253,317,548,500,343,368,81,292,203,221,182,228,6,0,8,0,13,15
"g3494",364,453,650,416,356,344,226,737,648,267,417,529,544,592,745,304,584,566
"g20211",20,56,56,28,26,8,75,366,301,139,213,251,1087,1725,2455,747,1133,1894
