"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"13","GO:0005634",0.000678707614752508,0.999918514843798,8,3085,"nucleus","CC"
"14","GO:0005667",0.0477399210723904,0.998946380320453,1,63,"transcription factor complex","CC"
"15","GO:0005790",0.0108903441454866,0.999948960474407,1,14,"smooth endoplasmic reticulum","CC"
"33","GO:0017109",0.0014651945804372,0.999999504223951,1,2,"glutamate-cysteine ligase complex","CC"
"35","GO:0019005",0.0449354257611936,0.999068523309348,1,59,"SCF ubiquitin ligase complex","CC"
"48","GO:0031941",0.0193594510582371,0.999832470938171,1,26,"filamentous actin","CC"
"53","GO:0034663",0.00389002653355175,0.999994403635622,1,5,"endoplasmic reticulum chaperone complex","CC"
"62","GO:0042622",0.00600670461378536,0.999985394432077,1,8,"photoreceptor outer segment membrane","CC"
"93","GO:0097381",0.00306819636507009,0.999996737066288,1,4,"photoreceptor disc membrane","CC"
