"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"MSTRG.29689",597,800,983,1068,652,710,918,936,1065,813,1206,972,1592,1256,1331,897,1259,1369
"MSTRG.37731",184,368,321,182,106,251,28,346,186,166,52,308,48,401,192,0,49,261
"MSTRG.41008",292,182,176,325,166,97,187,266,183,289,277,184,430,176,189,142,325,139
"MSTRG.41011",37,25,48,66,35,37,29,25,35,20,34,18,55,36,25,58,42,54
"MSTRG.6525",150,159,244,260,238,162,104,119,101,171,183,136,96,142,209,160,216,227
"MSTRG.6578",15,601,904,63,171,572,22,458,653,66,206,281,35,628,600,33,117,465
"MSTRG.8394",298,302,466,320,245,375,257,443,488,147,314,549,159,173,249,69,197,175
"MSTRG.10142",40,59,107,65,32,13,16,75,121,47,52,56,10,57,76,12,13,55
"MSTRG.22606",60,178,790,68,44,544,35,308,630,63,37,600,32,490,1123,35,70,644
"MSTRG.24711",34,143,228,36,40,127,40,178,248,63,74,212,36,150,248,16,86,113
"MSTRG.25390",117,161,279,140,109,157,84,168,240,69,162,192,56,159,170,31,98,125
"MSTRG.28150",144,108,192,124,152,129,162,87,146,72,169,75,93,202,129,124,387,155
"MSTRG.28151",239,255,544,334,358,244,415,220,425,214,474,146,278,536,519,273,909,395
"MSTRG.28895",96,45,91,41,53,86,79,67,72,52,239,55,577,104,54,50,246,115
"MSTRG.29244",804,761,1159,702,567,561,252,1369,644,658,867,880,6659,1786,6157,915,1603,1969
"MSTRG.31556",362,375,824,631,327,380,215,699,877,282,404,714,129,284,399,143,426,249
"MSTRG.31993",251,154,243,530,289,201,249,244,305,406,639,202,360,116,224,194,466,252
"MSTRG.32811",2033,2632,2898,2839,2361,1629,813,2307,1860,1779,1826,1335,2996,3285,4785,2081,2488,2712
"MSTRG.34462",419,377,512,330,405,337,365,409,429,359,505,364,570,662,582,380,664,475
"MSTRG.35908",99,129,236,245,281,150,155,111,140,181,230,139,158,174,156,244,220,128
"MSTRG.37065",122,20,33,85,23,19,49,25,24,34,58,21,113,6,27,46,48,32
