"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g22366",317,499,673,593,327,287,482,602,725,488,733,447,879,794,962,437,775,725
"g22542",128,182,196,186,99,119,159,213,288,194,175,239,249,310,314,156,272,281
"g22955",108,35,61,87,91,29,74,70,69,111,148,55,122,54,80,42,167,39
"g23756",285,572,1289,726,447,289,170,1754,1637,485,919,745,7208,2187,4971,367,1250,3344
"g24187",40,56,95,59,32,13,16,75,114,41,46,52,10,57,76,12,13,50
"g25232",388,351,429,527,404,217,285,413,317,318,426,188,360,252,336,276,478,175
"g25294",467,887,1089,646,555,808,44,595,414,546,428,590,91,88,240,99,120,236
"g25295",687,865,1519,1011,816,879,92,622,519,931,724,673,127,82,319,102,134,254
"g25809",51,52,83,64,40,30,105,92,126,80,107,86,133,77,87,52,133,57
"g25830",44,41,176,45,28,78,25,61,122,44,26,87,23,167,364,23,51,174
"g25991",21,10,43,42,11,25,24,150,110,71,120,133,85,57,62,49,88,101
"g27090",362,665,665,364,353,366,202,1023,748,513,788,588,873,1809,1967,470,920,1421
"g27092",913,248,815,224,203,245,59,104,147,75,162,37,45,50,97,18,42,35
"g27244",22,18,8,8,12,23,18,22,13,7,16,14,22,0,0,7,8,0
"g27639",204,210,329,209,154,88,52,468,211,283,242,174,2005,504,2257,193,652,593
"g27780",11,30,40,33,20,32,111,126,102,19,201,198,321,195,224,25,105,212
"g30027",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584
"g30029",1604,1184,2388,2491,1361,1776,419,1227,972,985,946,995,198,189,437,159,306,214
"g30030",246,209,388,419,214,82,82,174,115,135,168,197,7,18,60,16,51,47
"g30156",16,53,25,29,37,22,18,98,28,70,66,71,282,281,217,69,132,200
"g30299",1289,1177,1883,1549,1122,1066,873,1588,1693,1159,1467,1242,1583,1430,2034,862,1819,1674
"g30473",29,20,28,44,27,26,35,81,44,52,69,90,225,74,91,29,95,95
"g30477",145,98,217,196,131,104,81,192,136,154,178,164,76,74,151,30,76,68
"g31031",74,64,100,120,68,63,40,93,107,45,62,56,36,51,81,31,48,60
"g31885",595,476,1299,820,515,563,484,607,875,555,860,1012,223,247,383,181,354,321
"g32116",98,124,108,124,108,96,95,87,78,97,78,95,42,34,38,11,44,22
