"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"MSTRG.41095",287,355,680,435,442,435,174,450,485,152,193,514,282,415,536,260,406,465
"MSTRG.26004",244,273,472,213,229,289,154,365,407,126,252,367,319,379,514,196,363,358
"MSTRG.29244",804,761,1159,702,567,561,252,1369,644,658,867,880,6659,1786,6157,915,1603,1969
"MSTRG.37852",1919,1449,2902,3012,1624,1919,517,1440,1135,1157,1156,1248,213,216,519,181,374,272
"MSTRG.43064",722,607,1479,980,686,744,582,702,1021,626,1055,1270,248,289,440,221,418,408
"MSTRG.45975",5524,6479,8570,8230,6641,7598,2045,6063,3831,3772,4801,4949,179,278,185,155,341,430
"MSTRG.5195",1386,1608,2459,1853,1592,1968,919,1685,1784,1262,1679,1700,830,1052,1470,621,1011,1104
"MSTRG.9714",118,151,173,198,133,133,51,268,175,92,139,179,182,333,445,136,236,313
"MSTRG.11098",3456,1823,4767,5029,4205,3904,951,1747,1738,1460,1877,1620,336,247,660,352,490,403
"MSTRG.19255",702,771,1075,1049,776,713,543,1327,1085,704,907,1149,1392,1329,1780,604,1203,1346
"MSTRG.20115",1117,1171,1779,1502,1432,1090,536,1342,1706,1139,1341,1076,1679,1678,2385,1237,2068,1989
"MSTRG.25755",219,226,522,364,214,181,168,567,715,281,503,297,756,790,1189,458,751,963
"MSTRG.27780",602,601,890,945,617,559,499,697,846,603,799,719,1065,931,1094,708,1141,1095
"MSTRG.29322",599,678,614,667,704,540,264,246,306,201,409,245,26,26,149,12,82,15
"MSTRG.33653",894,984,1768,1878,1342,2194,298,1049,921,819,1044,1500,254,326,367,163,237,343
"MSTRG.1296",11,78,78,69,13,370,2093,236,63,52,168,204,28,57,29,13,45,277
"MSTRG.1704",967,1279,1602,1102,1087,1206,651,1750,1564,635,1163,1526,1443,1603,1733,738,1477,1462
"MSTRG.2103",112,219,234,153,133,159,135,242,279,158,210,225,107,154,165,57,106,160
"MSTRG.13938",387,401,938,700,418,551,358,593,755,484,496,625,205,259,461,168,282,354
"MSTRG.22545",21,137,120,95,252,45,190,1098,798,314,708,602,2924,3973,5190,1597,2645,3937
