"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g22366",317,499,673,593,327,287,482,602,725,488,733,447,879,794,962,437,775,725
"g22542",128,182,196,186,99,119,159,213,288,194,175,239,249,310,314,156,272,281
"g23756",285,572,1289,726,447,289,170,1754,1637,485,919,745,7208,2187,4971,367,1250,3344
"g25294",467,887,1089,646,555,808,44,595,414,546,428,590,91,88,240,99,120,236
"g25295",687,865,1519,1011,816,879,92,622,519,931,724,673,127,82,319,102,134,254
"g25809",51,52,83,64,40,30,105,92,126,80,107,86,133,77,87,52,133,57
"g25991",21,10,43,42,11,25,24,150,110,71,120,133,85,57,62,49,88,101
"g27090",362,665,665,364,353,366,202,1023,748,513,788,588,873,1809,1967,470,920,1421
"g27092",913,248,815,224,203,245,59,104,147,75,162,37,45,50,97,18,42,35
"g27639",204,210,329,209,154,88,52,468,211,283,242,174,2005,504,2257,193,652,593
"g27780",11,30,40,33,20,32,111,126,102,19,201,198,321,195,224,25,105,212
"g30027",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584
"g30029",1604,1184,2388,2491,1361,1776,419,1227,972,985,946,995,198,189,437,159,306,214
"g30030",246,209,388,419,214,82,82,174,115,135,168,197,7,18,60,16,51,47
"g30156",16,53,25,29,37,22,18,98,28,70,66,71,282,281,217,69,132,200
"g30473",29,20,28,44,27,26,35,81,44,52,69,90,225,74,91,29,95,95
"g30477",145,98,217,196,131,104,81,192,136,154,178,164,76,74,151,30,76,68
"g31031",74,64,100,120,68,63,40,93,107,45,62,56,36,51,81,31,48,60
"g31885",595,476,1299,820,515,563,484,607,875,555,860,1012,223,247,383,181,354,321
"g32116",98,124,108,124,108,96,95,87,78,97,78,95,42,34,38,11,44,22
"g32797",2117,2583,3876,3530,2196,1958,701,2550,1769,1802,1805,1766,81,101,74,40,125,169
"g34558",84,136,130,93,69,70,74,195,348,179,160,163,294,389,442,130,239,199
"g34594",746,664,1313,834,628,810,270,861,1187,425,662,799,332,525,739,191,322,568
"g34940",432,476,1257,944,452,752,144,945,602,651,591,632,182,191,537,126,128,336
"g35960",696,820,1258,886,679,788,445,953,926,711,847,794,436,456,743,243,482,506
"g37889",55,15,84,32,15,16,72,31,48,59,78,28,422,180,444,155,77,79
"g38587",47,86,58,74,57,26,139,151,91,153,149,108,415,148,170,53,220,175
"g38586",3265,1786,4497,4764,3867,3736,870,1647,1630,1367,1766,1516,311,235,609,335,462,376
"g41210",185,241,312,221,177,178,162,324,290,204,313,230,324,249,453,159,362,366
"g41788",109,100,104,216,114,177,10,61,134,57,51,74,7,45,34,4,34,24
"g47496",536,428,741,635,381,386,245,617,591,402,449,421,228,174,395,153,315,258
"g48266",124,126,281,216,122,66,109,372,482,194,276,153,505,426,751,219,520,562
"g49518",855,943,2243,1732,899,1504,248,1741,1058,1145,1062,1158,283,380,978,251,222,583
"g50751",507,509,777,801,498,454,419,588,763,541,698,626,922,809,1011,611,1020,994
"g53963",167,272,580,503,286,243,271,381,795,756,546,374,746,727,1072,423,798,710
"g57313",512,589,1066,1070,610,1321,189,684,587,480,576,937,154,225,254,99,152,259
"g57314",186,141,298,298,215,242,46,163,123,113,115,121,22,23,32,21,14,39
"g58055",25,52,90,35,25,15,54,167,143,31,151,126,288,163,130,21,106,103
"g63260",117,165,216,168,147,80,131,273,260,228,228,168,222,235,301,179,306,257
"g64233",5,6,24,0,0,9,44,44,34,75,72,29,221,29,52,25,27,91
"g64424",5,19,18,11,0,0,54,21,46,41,106,47,197,95,94,14,22,71
"g64474",361,673,900,947,379,304,736,1328,1281,842,1102,812,1776,1154,1485,514,1124,1131
"g64793",33205,35212,48336,34463,26593,29184,21994,38004,35858,25586,33120,36258,17179,17149,26531,10883,24400,17839
"g67932",253,317,548,500,343,368,81,292,203,221,182,228,6,0,8,0,13,15
"g2645",122,173,131,243,99,32,232,264,290,1237,250,294,1532,1200,1472,645,614,971
"g3494",364,453,650,416,356,344,226,737,648,267,417,529,544,592,745,304,584,566
"g10192",131,352,426,464,217,208,1304,1404,1713,828,1719,1550,2153,1601,1529,425,915,1175
"g13104",94,139,203,177,88,135,121,253,325,149,228,177,234,177,237,123,185,212
"g14555",297,305,776,535,343,383,285,498,644,379,413,466,166,199,388,123,247,281
"g17141",1173,1994,1610,1636,1752,4896,475,1331,577,452,747,1547,127,264,140,115,144,246
"g17638",5,14,38,38,10,22,39,37,43,88,49,39,40,39,34,55,90,52
"g20211",20,56,56,28,26,8,75,366,301,139,213,251,1087,1725,2455,747,1133,1894
"g20212",9,27,18,23,0,14,19,49,51,19,22,28,109,154,191,57,60,84
