"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"MSTRG.54",1151,1174,1764,1615,1392,1216,340,1144,1290,731,782,987,535,645,1267,365,918,897
"MSTRG.41095",287,355,680,435,442,435,174,450,485,152,193,514,282,415,536,260,406,465
"MSTRG.22560",265,932,378,317,211,899,1199,1283,875,494,1563,1655,803,385,332,158,1027,572
"MSTRG.23307",22,17,67,50,18,38,33,221,151,90,190,172,120,80,86,61,128,132
"MSTRG.27678",1717,433,1367,415,518,607,84,153,216,119,284,57,71,94,121,50,74,48
"MSTRG.35580",91,194,189,170,76,150,318,644,454,289,235,436,323,82,140,171,360,269
"MSTRG.36620",80,124,201,67,83,108,165,214,214,120,196,194,143,125,129,65,126,134
"MSTRG.48184",5,28,40,22,22,10,75,94,44,61,99,68,77,67,98,16,58,156
"MSTRG.2804",9,33,17,9,10,14,131,146,76,18,90,43,94,8,10,12,95,26
"MSTRG.11098",3456,1823,4767,5029,4205,3904,951,1747,1738,1460,1877,1620,336,247,660,352,490,403
"MSTRG.14127",58,103,262,54,50,45,780,228,130,55,594,79,355,141,109,72,194,82
"MSTRG.14572",242,296,249,171,151,290,400,666,581,355,712,812,503,237,417,165,571,386
"MSTRG.22668",34,43,57,30,26,40,71,72,133,118,77,53,77,94,63,43,80,58
"MSTRG.24568",13,33,28,5,10,20,32,41,56,43,30,60,47,21,42,14,33,39
"MSTRG.25769",10,24,10,16,11,34,127,63,129,29,246,20,35,7,17,19,50,30
"MSTRG.33721",100,125,162,74,128,199,7,50,101,22,39,177,30,72,113,14,28,75
"MSTRG.35707",7,17,35,26,10,11,40,77,45,77,37,96,36,94,79,35,65,63
"MSTRG.38814",136,160,204,96,152,116,33,110,141,25,44,78,65,85,124,30,29,169
"MSTRG.40285",14,29,125,48,28,113,76,118,168,225,264,169,368,70,277,83,106,284
"MSTRG.40516",16,38,51,12,0,21,122,66,133,74,280,143,477,258,280,52,76,200
"MSTRG.1296",11,78,78,69,13,370,2093,236,63,52,168,204,28,57,29,13,45,277
"MSTRG.8577",120,104,217,156,142,157,215,204,372,486,306,326,317,186,419,236,378,366
"MSTRG.9134",313,797,921,919,511,607,2909,2787,3495,1617,4028,3778,4753,3873,3130,1119,1877,2702
"MSTRG.13612",3,11,33,10,6,12,162,43,34,33,27,23,135,25,21,9,16,45
"MSTRG.20067",13,19,52,27,15,15,85,48,243,104,130,83,64,26,68,30,68,35
