"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g38586",3265,1786,4497,4764,3867,3736,870,1647,1630,1367,1766,1516,311,235,609,335,462,376
"g39438",564,817,1373,1356,693,633,1048,1819,1820,1575,1710,1478,1446,1220,1556,571,1115,1087
"g39753",6,7,16,14,12,6,0,13,19,0,0,13,15,7,12,0,13,13
"g40284",45,83,195,47,29,25,539,197,107,39,509,62,295,107,86,58,167,69
"g47579",13,17,66,23,30,13,71,92,152,132,71,98,96,175,119,39,50,97
"g48277",10,24,10,16,11,34,127,63,129,29,246,20,35,7,17,19,50,30
"g64233",5,6,24,0,0,9,44,44,34,75,72,29,221,29,52,25,27,91
"g89",9,61,74,7,0,64,18,95,84,26,27,73,9,72,71,9,8,63
"g5149",0,39,42,6,5,13,145,16,40,5,31,32,59,20,19,5,26,27
"g10192",131,352,426,464,217,208,1304,1404,1713,828,1719,1550,2153,1601,1529,425,915,1175
"g14108",3,11,33,10,6,12,162,43,34,33,27,23,135,25,21,9,16,45
"g20211",20,56,56,28,26,8,75,366,301,139,213,251,1087,1725,2455,747,1133,1894
