"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g22955",108,35,61,87,91,29,74,70,69,111,148,55,122,54,80,42,167,39
"g24187",40,56,95,59,32,13,16,75,114,41,46,52,10,57,76,12,13,50
"g25232",388,351,429,527,404,217,285,413,317,318,426,188,360,252,336,276,478,175
"g25830",44,41,176,45,28,78,25,61,122,44,26,87,23,167,364,23,51,174
"g27244",22,18,8,8,12,23,18,22,13,7,16,14,22,0,0,7,8,0
"g34620",34,66,191,46,27,162,44,73,140,27,26,136,72,211,160,25,16,489
"g38718",34,49,91,75,42,57,23,62,108,30,38,59,13,93,109,7,36,81
"g41478",104,173,179,143,82,89,49,159,178,111,114,121,55,138,177,33,92,189
"g47803",11,10,9,36,15,2,10,6,12,22,23,5,19,3,6,9,22,0
"g48602",220,100,87,240,222,53,158,87,91,175,271,64,226,70,50,129,271,47
"g57309",173,115,122,181,311,77,174,191,113,211,316,110,269,125,130,130,446,105
"g58395",808,1114,1870,1062,605,764,582,1996,2073,925,1151,1143,831,1337,2038,473,975,1455
"g60401",88,85,180,105,38,87,64,118,145,81,145,107,76,40,71,76,107,38
"g67292",16,41,49,34,43,12,4,37,75,28,20,19,0,31,45,0,0,6
"g70488",30,63,103,63,43,53,12,82,92,36,42,54,26,57,121,24,26,85
"g89",9,61,74,7,0,64,18,95,84,26,27,73,9,72,71,9,8,63
"g1148",12,47,162,20,11,63,21,66,156,5,16,73,9,22,96,2,6,87
"g4222",288,42,41,489,238,31,292,26,29,429,392,31,294,13,17,164,460,43
"g6857",92,325,581,131,166,249,79,493,438,115,204,281,117,314,552,70,113,282
"g8812",139,4,9,141,100,12,126,3,28,77,89,21,224,7,22,121,124,7
"g9653",66,181,98,93,115,41,45,55,55,98,82,65,43,2,42,88,88,5
"g11437",117,57,20,173,212,17,74,27,25,98,131,0,127,27,16,105,188,9
"g11632",73,241,192,63,62,179,32,239,213,29,113,258,51,224,150,11,31,128
"g12347",321,127,78,597,219,78,209,253,153,333,332,165,408,139,58,171,316,139
"g12349",167,99,144,525,257,167,122,129,55,223,266,136,152,66,89,234,242,72
"g12350",70,30,23,370,121,36,56,61,13,260,197,49,105,24,14,138,223,41
"g12681",82,10,4,10,68,9,75,16,4,14,106,8,73,5,0,17,99,7
"g12748",38,122,112,39,8,63,8,215,114,28,16,103,4,148,173,10,12,124
"g16585",177,302,419,287,97,201,116,451,460,225,149,340,120,285,424,87,126,297
