"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"g22366",317,499,673,593,327,287,482,602,725,488,733,447,879,794,962,437,775,725
"g22955",108,35,61,87,91,29,74,70,69,111,148,55,122,54,80,42,167,39
"g23828",5438,5732,10177,6888,5298,4351,2882,8186,8235,5358,5570,4219,7322,7278,14678,5406,9811,6276
"g23845",95,86,132,81,97,57,72,125,153,73,113,117,169,179,393,92,209,217
"g23923",11,15,41,42,19,15,22,55,68,37,43,80,8,25,29,11,19,54
"g24032",186,242,340,259,186,266,169,350,335,90,237,399,102,142,188,41,148,126
"g24187",40,56,95,59,32,13,16,75,114,41,46,52,10,57,76,12,13,50
"g25018",994,1203,1518,983,868,1108,682,2050,1569,762,1446,1971,569,770,979,308,936,1245
"g25232",388,351,429,527,404,217,285,413,317,318,426,188,360,252,336,276,478,175
"g25920",115,91,117,212,88,57,12,32,39,75,32,12,21,37,49,124,59,26
"g25930",119,93,167,140,106,57,50,104,107,123,72,52,238,118,143,95,95,102
"g26467",80,107,195,117,80,76,57,121,181,52,115,112,40,90,105,20,59,80
"g27230",182,241,372,200,147,139,151,390,441,159,329,436,153,195,280,84,165,197
"g27274",239,255,544,334,358,244,415,220,425,214,474,146,278,536,519,273,909,395
"g27639",204,210,329,209,154,88,52,468,211,283,242,174,2005,504,2257,193,652,593
"g28122",737,637,1092,1231,493,590,402,805,987,979,862,693,855,987,1733,722,1090,1061
"g28247",325,257,551,277,227,239,179,338,352,253,358,324,462,608,927,258,413,573
"g28966",24,39,17,41,30,29,14,5,8,15,22,9,29,35,6,31,16,31
"g28975",271,262,370,220,265,227,229,301,321,269,314,227,413,469,423,291,493,335
"g30021",345,306,522,595,355,213,271,412,476,470,487,303,343,291,450,316,601,345
"g30027",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584
"g30029",1604,1184,2388,2491,1361,1776,419,1227,972,985,946,995,198,189,437,159,306,214
"g30030",246,209,388,419,214,82,82,174,115,135,168,197,7,18,60,16,51,47
"g30068",112,38,68,123,104,21,91,62,58,67,133,30,110,33,71,41,113,13
"g30069",239,58,106,219,143,46,193,65,154,113,228,30,186,72,99,94,203,43
"g30204",122,162,399,269,205,94,414,169,363,319,336,100,411,299,445,214,654,271
"g30299",1289,1177,1883,1549,1122,1066,873,1588,1693,1159,1467,1242,1583,1430,2034,862,1819,1674
"g31185",35,50,76,27,27,31,21,58,47,19,33,50,12,30,59,6,15,30
"g31879",277,184,429,375,224,195,239,166,225,270,205,170,214,226,411,274,352,318
"g31885",595,476,1299,820,515,563,484,607,875,555,860,1012,223,247,383,181,354,321
"g32041",128,122,246,176,118,121,92,182,199,164,167,128,170,196,283,110,208,186
"g32075",45,33,187,19,31,124,49,116,209,26,36,368,43,31,154,7,21,173
"g32425",290,339,488,339,287,284,235,430,294,312,495,355,467,654,709,228,493,466
"g32797",2117,2583,3876,3530,2196,1958,701,2550,1769,1802,1805,1766,81,101,74,40,125,169
"g32807",18,23,22,21,8,16,15,53,41,29,28,24,6,18,15,0,9,15
"g32962",239,321,526,575,412,366,174,362,432,377,459,379,818,744,601,352,551,664
"g33712",89,169,274,157,93,147,77,270,250,146,145,248,95,136,186,67,102,148
"g33966",25,33,34,12,19,26,6,46,63,18,39,40,8,32,34,0,15,31
"g34399",89,141,133,270,248,142,191,61,174,126,281,76,158,203,183,135,293,192
"g34594",746,664,1313,834,628,810,270,861,1187,425,662,799,332,525,739,191,322,568
"g34884",12,148,55,377,279,129,171,48,10,150,161,22,39,115,14,188,390,177
"g34940",432,476,1257,944,452,752,144,945,602,651,591,632,182,191,537,126,128,336
"g35029",105,116,189,101,119,87,72,110,133,121,145,117,134,104,195,91,175,134
"g35125",392,217,510,299,220,198,254,343,406,344,397,270,297,562,782,347,614,570
"g35185",75,90,139,101,92,87,50,125,84,112,130,78,101,113,114,85,138,104
"g35220",177,313,461,395,187,261,152,561,470,259,370,475,145,206,141,69,133,219
"g35263",243,342,566,445,475,310,275,425,500,437,609,307,460,475,549,284,809,405
"g35416",410,583,927,429,372,413,342,759,824,297,549,683,237,390,680,170,338,298
"g35960",696,820,1258,886,679,788,445,953,926,711,847,794,436,456,743,243,482,506
"g36083",43,83,89,46,44,68,52,130,116,37,66,140,39,33,63,16,36,49
"g36240",190,132,209,331,176,72,90,180,197,181,229,109,240,121,196,112,263,153
"g36974",274,265,419,309,219,227,174,497,515,293,361,429,247,232,410,119,217,248
"g37889",55,15,84,32,15,16,72,31,48,59,78,28,422,180,444,155,77,79
"g38586",3265,1786,4497,4764,3867,3736,870,1647,1630,1367,1766,1516,311,235,609,335,462,376
"g38718",34,49,91,75,42,57,23,62,108,30,38,59,13,93,109,7,36,81
"g38829",248,160,248,460,248,106,36,62,47,178,113,43,30,110,98,185,215,115
"g39187",1392,891,1621,1638,1083,715,1117,1375,1434,1074,1618,1014,1334,1005,1482,925,1594,890
"g39447",1111,1143,1558,1515,1262,1006,642,1514,1304,1288,1779,1261,1302,1741,2254,1183,1955,1468
"g39699",421,436,1247,814,458,455,542,626,1019,842,643,588,1061,1151,2435,738,995,1296
"g39927",607,755,1072,855,813,579,660,878,1008,725,1095,709,864,1490,1525,735,1405,1020
"g40750",275,277,419,425,254,244,188,262,370,324,342,233,328,223,452,220,363,368
"g41210",185,241,312,221,177,178,162,324,290,204,313,230,324,249,453,159,362,366
"g41321",83,80,174,154,118,107,84,68,97,89,135,90,204,88,153,102,154,153
"g42296",81,135,286,309,161,148,339,180,240,419,267,152,576,261,367,260,330,294
"g43046",137,78,143,179,105,63,98,51,103,70,123,30,301,109,203,77,83,115
"g43242",48,120,118,140,77,79,80,68,60,92,89,60,66,111,105,69,150,136
"g45705",870,782,1156,1351,873,633,481,964,1112,915,1010,727,863,602,1005,634,1330,960
"g46340",147,257,222,221,177,229,36,329,224,82,155,278,45,146,126,45,98,235
"g46369",371,378,605,586,362,270,304,412,580,571,381,304,506,591,717,489,617,438
"g46492",39,67,120,45,39,66,21,118,80,66,30,73,34,62,101,12,19,66
"g48521",88,130,165,156,76,113,79,195,221,100,142,160,97,123,155,38,55,104
"g48602",220,100,87,240,222,53,158,87,91,175,271,64,226,70,50,129,271,47
"g49518",855,943,2243,1732,899,1504,248,1741,1058,1145,1062,1158,283,380,978,251,222,583
"g50751",507,509,777,801,498,454,419,588,763,541,698,626,922,809,1011,611,1020,994
"g51211",249,161,235,287,556,17,113,116,117,267,430,45,216,198,136,190,544,28
"g51692",245,269,477,281,230,224,262,283,381,263,325,278,367,412,603,238,358,354
"g52454",85,87,69,134,97,42,35,51,74,49,53,46,62,112,93,69,96,96
"g52625",144,213,430,248,179,266,132,238,309,184,281,431,96,162,176,65,120,218
"g53126",245,560,296,668,858,534,183,135,94,316,490,362,667,342,327,189,1170,311
"g53418",56,54,145,205,228,52,82,41,127,166,222,52,50,65,82,156,373,36
"g54051",16,34,19,25,13,33,22,68,49,21,35,48,15,21,27,5,16,24
"g54412",24,59,102,50,39,39,77,161,210,39,140,162,54,78,83,22,50,51
"g55401",43,110,156,81,80,96,24,167,136,54,53,77,45,66,116,14,42,63
"g55558",216,115,172,149,161,65,96,168,124,122,142,82,223,235,215,181,398,160
"g55980",394,404,732,520,352,322,342,481,678,380,467,404,622,584,691,294,618,451
"g57309",173,115,122,181,311,77,174,191,113,211,316,110,269,125,130,130,446,105
"g57313",512,589,1066,1070,610,1321,189,684,587,480,576,937,154,225,254,99,152,259
"g57314",186,141,298,298,215,242,46,163,123,113,115,121,22,23,32,21,14,39
"g58602",220,453,348,308,202,266,213,594,487,156,322,442,176,277,322,66,165,321
"g59265",92,17,36,57,62,14,53,11,40,52,104,24,94,17,13,38,90,49
"g59543",616,378,1043,679,597,303,184,587,697,592,570,410,944,842,1694,551,881,924
"g60979",58,32,18,141,46,11,34,41,25,58,46,10,59,21,31,33,51,19
"g61005",71,100,122,91,74,75,46,112,131,46,103,88,41,56,85,24,33,100
"g62746",70,44,73,44,40,37,35,34,22,33,30,26,47,74,56,40,60,54
"g63099",359,355,609,309,241,436,267,690,633,164,251,517,243,341,432,100,127,374
"g66215",56,116,216,59,23,172,27,182,199,40,63,249,41,54,187,24,37,120
"g66437",107,117,187,103,57,115,85,201,197,94,168,225,63,89,132,44,88,146
"g67855",285,244,431,333,258,283,240,338,292,311,349,271,311,422,716,195,466,444
"g71155",83,50,88,87,76,53,45,69,72,61,53,49,69,88,119,67,84,86
"g71157",159,174,305,259,150,106,113,230,186,242,185,120,220,257,347,149,274,288
"g89",9,61,74,7,0,64,18,95,84,26,27,73,9,72,71,9,8,63
"g739",178,259,193,170,123,238,150,467,198,151,249,418,87,113,152,41,128,118
"g809",909,733,1419,1226,1115,830,630,611,1014,1081,1002,628,620,813,1097,893,1666,1077
"g2076",106,13,109,67,56,11,60,8,47,49,95,11,111,29,200,37,184,13
"g2107",24,70,73,52,33,51,25,122,97,50,47,73,23,47,48,16,37,57
"g2645",122,173,131,243,99,32,232,264,290,1237,250,294,1532,1200,1472,645,614,971
"g3867",294,414,476,460,206,327,295,578,627,206,383,570,237,345,387,87,148,286
"g3898",434,396,731,795,522,341,362,674,664,623,579,415,591,382,675,384,714,475
"g3955",112,219,234,153,133,159,135,242,279,158,210,225,107,154,165,57,106,160
"g4222",288,42,41,489,238,31,292,26,29,429,392,31,294,13,17,164,460,43
"g5422",563,437,829,720,578,482,430,491,591,612,553,396,480,602,982,443,939,738
"g5916",15,17,17,16,16,14,6,16,18,13,30,4,30,26,44,26,32,24
"g6348",14,8,20,24,21,15,15,7,9,11,31,15,22,9,18,17,30,15
"g6857",92,325,581,131,166,249,79,493,438,115,204,281,117,314,552,70,113,282
"g7084",40,44,256,63,25,142,43,92,480,65,70,205,47,34,184,16,46,124
"g7550",123,126,168,145,142,94,78,109,105,116,178,85,137,130,225,68,208,121
"g9387",345,122,103,413,237,82,244,252,81,312,357,89,230,134,145,185,323,110
"g9732",66,77,134,144,109,70,55,29,64,103,171,75,83,55,77,83,124,48
"g11014",84,161,224,114,29,39,42,515,341,124,108,140,41,99,214,17,87,129
"g11437",117,57,20,173,212,17,74,27,25,98,131,0,127,27,16,105,188,9
"g11632",73,241,192,63,62,179,32,239,213,29,113,258,51,224,150,11,31,128
"g11771",753,753,2023,651,577,1278,738,1440,1993,497,1231,2188,270,415,964,214,785,972
"g12283",102,33,66,238,30,9,63,24,38,139,38,5,83,20,28,145,35,21
"g12349",167,99,144,525,257,167,122,129,55,223,266,136,152,66,89,234,242,72
"g12350",70,30,23,370,121,36,56,61,13,260,197,49,105,24,14,138,223,41
"g12748",38,122,112,39,8,63,8,215,114,28,16,103,4,148,173,10,12,124
"g12941",207,352,693,223,185,270,127,607,666,191,305,516,232,324,538,93,259,479
"g14107",104,172,129,140,202,136,276,109,122,99,315,115,379,207,164,92,392,154
"g14555",297,305,776,535,343,383,285,498,644,379,413,466,166,199,388,123,247,281
"g14966",133,61,71,102,85,16,53,65,37,90,84,23,130,105,144,93,159,50
"g15354",50,212,384,228,132,225,92,423,317,253,280,515,47,297,349,52,169,347
"g15748",41,96,72,7,12,34,20,125,58,8,12,61,14,68,47,3,6,37
"g15986",97,42,150,160,112,64,69,64,76,117,174,95,93,48,75,111,139,61
"g16585",177,302,419,287,97,201,116,451,460,225,149,340,120,285,424,87,126,297
"g16776",39,77,119,62,32,40,52,147,165,40,76,93,18,78,57,19,42,35
"g17141",1173,1994,1610,1636,1752,4896,475,1331,577,452,747,1547,127,264,140,115,144,246
"g17991",141,48,108,324,77,35,84,62,95,298,151,77,159,50,190,198,169,119
"g18165",35,16,25,37,26,15,28,23,16,20,40,5,37,20,23,15,27,19
"g18987",26,71,152,46,29,72,19,134,150,25,70,103,8,117,48,22,22,57
"g19784",316,230,336,439,326,160,230,374,299,468,389,285,349,381,551,381,607,334
"g20161",14,6,19,40,26,11,28,22,14,92,35,30,82,42,19,54,87,62
"g20211",20,56,56,28,26,8,75,366,301,139,213,251,1087,1725,2455,747,1133,1894
"g21365",143,96,334,93,93,139,112,246,318,82,191,286,47,51,138,15,106,146
"g21370",403,402,488,729,426,297,234,529,518,469,526,387,470,388,454,347,589,361
