"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"MSTRG.54",1151,1174,1764,1615,1392,1216,340,1144,1290,731,782,987,535,645,1267,365,918,897
"MSTRG.29689",597,800,983,1068,652,710,918,936,1065,813,1206,972,1592,1256,1331,897,1259,1369
"MSTRG.29720",54,107,110,84,61,84,56,127,127,84,108,121,125,107,157,48,131,100
"MSTRG.33962",253,400,405,360,269,282,333,468,538,349,424,546,524,561,594,308,499,602
"MSTRG.34001",430,443,763,793,504,515,264,578,682,452,516,479,188,366,442,215,360,433
"MSTRG.41071",32,50,63,39,13,51,63,34,311,358,118,146,151,364,276,186,94,138
"MSTRG.2358",679,910,1094,935,758,730,371,1068,949,517,655,855,467,636,651,352,564,570
"MSTRG.23307",22,17,67,50,18,38,33,221,151,90,190,172,120,80,86,61,128,132
"MSTRG.25972",219,328,428,305,245,278,252,572,502,295,406,500,424,486,440,228,348,365
"MSTRG.26893",170,240,75,133,118,141,174,416,447,731,446,303,497,966,749,509,536,406
"MSTRG.27676",717,1278,1172,691,738,908,398,1623,1235,773,1399,1154,1521,3061,3025,962,1600,2301
"MSTRG.27678",1717,433,1367,415,518,607,84,153,216,119,284,57,71,94,121,50,74,48
"MSTRG.29244",804,761,1159,702,567,561,252,1369,644,658,867,880,6659,1786,6157,915,1603,1969
"MSTRG.29852",11,30,40,33,20,32,111,126,102,19,201,198,321,195,224,25,105,212
"MSTRG.32028",205,300,236,305,211,150,161,612,348,572,355,556,1306,1113,1408,408,402,1079
"MSTRG.35580",91,194,189,170,76,150,318,644,454,289,235,436,323,82,140,171,360,269
"MSTRG.37842",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584
"MSTRG.37852",1919,1449,2902,3012,1624,1919,517,1440,1135,1157,1156,1248,213,216,519,181,374,272
"MSTRG.39107",29,20,28,44,27,26,35,81,44,52,69,90,225,74,91,29,95,95
"MSTRG.39114",145,98,217,196,131,104,81,192,136,154,178,164,76,74,151,30,76,68
"MSTRG.43064",722,607,1479,980,686,744,582,702,1021,626,1055,1270,248,289,440,221,418,408
"MSTRG.45975",5524,6479,8570,8230,6641,7598,2045,6063,3831,3772,4801,4949,179,278,185,155,341,430
"MSTRG.48410",349,318,401,451,380,296,203,361,363,271,320,305,157,226,267,139,271,331
"MSTRG.1147",303,276,401,399,291,312,176,334,331,197,294,309,204,259,301,114,199,228
"MSTRG.1525",1034,1237,1467,1554,1027,977,1164,1935,1378,1675,1545,1873,3254,2268,4327,1266,1931,2651
"MSTRG.1944",93,141,144,93,76,86,82,196,371,202,171,181,319,392,455,145,257,213
"MSTRG.1967",1104,965,1673,1095,968,1202,369,1087,1422,513,1026,1112,456,700,947,272,455,726
"MSTRG.2804",9,33,17,9,10,14,131,146,76,18,90,43,94,8,10,12,95,26
"MSTRG.2832",432,476,1257,944,452,752,144,945,602,651,591,632,182,191,537,126,128,336
"MSTRG.5195",1386,1608,2459,1853,1592,1968,919,1685,1784,1262,1679,1700,830,1052,1470,621,1011,1104
"MSTRG.5336",91,164,207,87,72,89,214,464,216,89,308,295,777,368,430,50,301,292
"MSTRG.7474",25,51,69,17,34,42,26,35,45,41,60,46,52,49,57,32,60,48
"MSTRG.8776",1609,1737,2297,2047,1619,1352,763,2140,2183,1127,1639,1608,1130,1211,1217,671,1031,1009
"MSTRG.8801",311,540,541,563,263,411,349,1064,751,420,535,528,744,625,860,409,964,817
"MSTRG.9595",107,26,154,42,33,42,131,45,104,73,176,68,791,286,869,212,146,175
"MSTRG.11098",3456,1823,4767,5029,4205,3904,951,1747,1738,1460,1877,1620,336,247,660,352,490,403
"MSTRG.12291",236,282,249,289,231,265,133,251,227,137,233,197,125,173,215,77,138,160
"MSTRG.15281",364,335,476,465,374,453,283,297,457,275,403,340,164,194,286,121,252,232
"MSTRG.16986",110,100,106,217,115,178,10,100,200,57,51,74,7,45,34,4,34,25
"MSTRG.19255",702,771,1075,1049,776,713,543,1327,1085,704,907,1149,1392,1329,1780,604,1203,1346
"MSTRG.23586",42,172,264,154,66,173,104,250,330,133,137,238,223,215,400,187,119,287
"MSTRG.24568",13,33,28,5,10,20,32,41,56,43,30,60,47,21,42,14,33,39
"MSTRG.24900",662,558,844,735,540,520,306,695,663,449,540,527,254,248,449,205,370,310
"MSTRG.25755",219,226,522,364,214,181,168,567,715,281,503,297,756,790,1189,458,751,963
"MSTRG.26969",855,943,2243,1732,899,1504,248,1741,1058,1145,1062,1158,283,380,978,251,222,583
"MSTRG.27780",602,601,890,945,617,559,499,697,846,603,799,719,1065,931,1094,708,1141,1095
"MSTRG.27877",459,407,832,493,258,474,647,737,933,575,776,820,1854,765,930,448,848,1168
"MSTRG.29322",599,678,614,667,704,540,264,246,306,201,409,245,26,26,149,12,82,15
"MSTRG.30596",1779,2351,4268,2665,2312,2632,388,2195,2582,1097,1638,2159,621,1468,2041,816,746,1252
"MSTRG.30810",1840,1835,2832,2718,1963,1787,1232,2341,2974,1709,1903,2106,1454,1407,1892,914,1561,1413
"MSTRG.33653",894,984,1768,1878,1342,2194,298,1049,921,819,1044,1500,254,326,367,163,237,343
"MSTRG.35009",203,241,230,232,360,226,59,210,195,108,177,162,80,89,178,57,65,62
"MSTRG.35676",378,353,406,470,440,401,585,1145,669,510,1100,1223,2388,976,886,387,1297,828
"MSTRG.35707",7,17,35,26,10,11,40,77,45,77,37,96,36,94,79,35,65,63
"MSTRG.40285",14,29,125,48,28,113,76,118,168,225,264,169,368,70,277,83,106,284
"MSTRG.40308",358,387,533,517,371,528,192,378,398,325,379,326,209,233,277,165,215,319
"MSTRG.40516",16,38,51,12,0,21,122,66,133,74,280,143,477,258,280,52,76,200
"MSTRG.40566",1172,1777,2067,2202,1648,1405,2201,3030,3016,1848,3103,2521,4614,3357,3576,1456,3054,3019
"MSTRG.40852",33205,35212,48336,34463,26593,29184,21994,38004,35858,25586,33120,36258,17179,17149,26531,10883,24400,17839
"MSTRG.41216",16,56,86,69,23,31,101,85,141,174,85,73,66,82,191,176,163,161
"MSTRG.42932",132,138,279,239,169,172,356,224,453,296,310,305,350,490,482,300,419,400
"MSTRG.43178",197,260,327,293,195,204,169,312,248,179,242,292,132,175,234,78,138,211
"MSTRG.44010",87,60,117,72,70,43,50,66,85,61,39,51,16,54,52,14,29,38
"MSTRG.1016",169,247,173,390,186,58,324,379,404,1735,454,429,2115,1816,2051,1075,983,1402
"MSTRG.8099",50,44,126,81,28,115,107,207,174,368,257,163,429,80,247,113,75,209
"MSTRG.8577",120,104,217,156,142,157,215,204,372,486,306,326,317,186,419,236,378,366
"MSTRG.9134",313,797,921,919,511,607,2909,2787,3495,1617,4028,3778,4753,3873,3130,1119,1877,2702
"MSTRG.10502",492,393,510,410,450,790,202,117,188,87,223,268,26,14,65,8,69,20
"MSTRG.13938",387,401,938,700,418,551,358,593,755,484,496,625,205,259,461,168,282,354
"MSTRG.17672",1253,2182,1707,1741,1911,5366,517,1449,600,469,792,1676,138,279,147,126,151,271
"MSTRG.22546",13,30,21,26,0,15,22,60,62,20,26,31,131,189,235,70,70,103
"MSTRG.22545",21,137,120,95,252,45,190,1098,798,314,708,602,2924,3973,5190,1597,2645,3937
"MSTRG.18152",0,15,25,18,10,12,31,40,39,14,72,113,160,55,48,28,43,76
