"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8"
"MSTRG.37731",184,368,321,182,106,251,28,346,186,166,52,308,48,401,192,0,49,261
"MSTRG.41081",154,214,294,145,109,259,99,291,231,103,162,256,136,265,340,86,131,231
"MSTRG.6578",15,601,904,63,171,572,22,458,653,66,206,281,35,628,600,33,117,465
"MSTRG.22606",60,178,790,68,44,544,35,308,630,63,37,600,32,490,1123,35,70,644
"MSTRG.24711",34,143,228,36,40,127,40,178,248,63,74,212,36,150,248,16,86,113
"MSTRG.31993",251,154,243,530,289,201,249,244,305,406,639,202,360,116,224,194,466,252
"MSTRG.36273",23,19,86,32,22,41,28,36,78,16,23,73,16,31,223,8,8,80
"MSTRG.43806",62,15,12,119,66,9,52,50,13,73,110,14,69,27,16,85,86,8
"MSTRG.44879",401,226,288,585,465,261,181,154,259,382,397,119,262,167,168,264,345,138
"MSTRG.47523",447,421,940,432,460,419,196,746,745,360,535,630,287,644,1033,176,373,529
"MSTRG.1993",37,68,218,46,27,210,49,91,174,27,29,171,76,241,204,27,16,591
"MSTRG.2573",124,130,251,159,111,139,66,183,132,117,132,140,109,213,255,45,92,174
"MSTRG.5538",36,175,1679,19,20,377,8,593,2294,13,56,1027,13,386,1474,5,25,714
"MSTRG.5911",371,311,313,626,616,277,239,303,273,331,455,245,502,301,269,269,517,268
"MSTRG.8844",135,39,51,73,159,33,115,59,60,53,242,77,201,27,41,45,208,64
"MSTRG.11542",55,101,150,83,52,104,29,105,146,45,47,121,31,148,141,9,44,109
"MSTRG.24985",490,447,703,618,496,507,414,672,564,383,587,560,552,409,498,368,660,433
"MSTRG.25008",877,898,1176,1178,900,711,557,1204,1063,812,989,916,939,775,1046,652,1104,748
"MSTRG.26094",191,34,62,245,96,64,128,34,38,147,64,59,156,28,27,162,55,29
"MSTRG.26141",278,140,117,302,284,66,176,110,115,227,322,76,292,83,71,165,330,56
"MSTRG.26578",190,25,51,192,272,13,103,15,53,114,203,21,102,30,51,132,138,19
"MSTRG.28377",64,138,367,111,44,317,50,188,355,88,88,323,81,159,246,31,73,295
"MSTRG.28454",225,86,272,351,246,125,177,96,201,263,282,159,232,73,208,247,326,123
"MSTRG.30176",27,30,44,73,20,34,26,30,96,29,63,54,38,8,19,30,45,8
"MSTRG.30345",1103,531,618,1167,912,315,578,629,569,830,1168,358,965,641,850,945,1753,592
"MSTRG.33650",313,185,178,304,504,129,260,287,216,299,541,161,443,223,205,198,711,179
"MSTRG.34320",65,28,101,3997,2695,58,23,27,45,3057,2556,71,49,28,104,2832,4915,125
"MSTRG.34633",278,265,1307,136,133,749,161,297,1136,67,128,857,96,217,750,61,127,973
"MSTRG.35499",93,23,39,61,66,15,58,22,49,59,110,24,104,21,13,50,95,53
"MSTRG.35838",81,31,50,125,120,38,127,58,48,62,142,37,243,56,48,58,94,31
"MSTRG.36096",16,91,129,15,28,129,22,113,117,12,30,136,13,75,72,15,23,125
"MSTRG.36741",10,48,112,12,40,260,15,40,88,14,64,235,13,61,105,10,6,370
"MSTRG.37116",108,45,46,230,110,23,81,59,35,94,82,18,81,30,51,68,97,19
"MSTRG.43666",269,73,95,444,331,149,114,112,90,314,418,212,262,85,55,231,240,123
"MSTRG.45245",39,99,295,24,25,117,11,108,247,16,32,104,30,92,184,21,22,72
"MSTRG.46262",1050,804,981,1378,1114,710,872,829,1048,1000,1325,780,870,690,725,610,957,540
"MSTRG.48301",31,225,827,57,32,522,31,292,627,20,25,525,24,198,467,16,28,418
